inst  m      l     greedy      mh          ag
48    1000   100   5405737     5405250     5536819
49    1000   100   5396694     5396135     5539608
50    1000   100   5409947     5409219     5529586
51    1000   100   5391379     5391095     5537922
52    1000   100   5389902     5389902     5532287
53    1000   100   5412655     5412300     5544332
54    1000   100   5414788     5414556     5540122
55    1000   100   5387406     5387316     5550805
56    1000   100   5382670     5382397     5536049
57    1000   100   5383750     5383012     5533131
58    1000   100   5399031     5398516     5508997
59    1000   100   5405970     5405080     5528132
60    1000   100   5392793     5392634     5541117
61    1000   100   5405598     5404925     5554033
62    1000   100   5407060     5406326     5547382
63    1000   100   5382694     5382189     5543624
64    1000   100   5424324     5424113     5540848
65    1000   100   5409682     5409666     5548273
66    1000   100   5413817     5413805     5541718
67    1000   100   5419928     5419360     5542651
68    1000   100   5429127     5428715     5547303
69    1000   100   5399617     5398908     5518455
70    1000   100   5399601     5399349     5538581
71    1000   100   5400149     5399840     5532039
72    1000   100   5378727     5378299     5522735
73    1000   100   5407336     5405906     5540559
74    1000   100   5411569     5411316     5527093
75    1000   100   5414170     5413457     5535197
76    1000   100   5403386     5402686     5542382
77    1000   100   5405958     5405762     5528796
78    1000   100   5396262     5395560     5545037
79    1000   100   5423530     5423394     5547934
80    1000   100   5380504     5380086     5531395
81    1000   100   5413868     5413671     5558481
82    1000   100   5391295     5391235     5533255
83    1000   100   5395881     5394613     5542962
84    1000   100   5398086     5397736     5527620
85    1000   100   5391080     5390412     5532564
86    1000   100   5375793     5375315     5527127
87    1000   100   5391351     5390626     5542919
88    1000   100   5391400     5390859     5523168
89    1000   100   5403547     5403094     5537145
90    1000   100   5395421     5395409     5549512
91    1000   100   5404731     5404461     5529444
92    1000   100   5420864     5420426     5544548
93    1000   100   5399862     5399045     5539746
94    1000   100   5367681     5367370     5535759
95    1000   100   5416208     5415655     5541906
96    1000   100   5408727     5408727     5540699
97    1000   100   5391297     5390807     5530620
98    1000   100   5410397     5409726     5535222
99    1000   100   5401073     5400089     5546901
0     1000   300   48452982    48451719    50242256
1     1000   300   48536576    48534587    50234800
2     1000   300   48489197    48487805    50252572
3     1000   300   48526843    48525224    50263397
4     1000   300   48470736    48468637    50236032
5     1000   300   48492901    48491193    50251891
6     1000   300   48373855    48371872    50083975
7     1000   300   48523268    48520265    50117840
8     1000   300   48512099    48510601    50228128
9     1000   300   48373240    48371900    50130101
10    1000   300   48602423    48600762    50238303
11    1000   300   48483706    48481334    50105737
12    1000   300   48561659    48558593    50158724
13    1000   300   48570257    48568589    50189910
14    1000   300   48476902    48476763    50154715
15    1000   300   48518442    48518442    50159656
16    1000   300   48506941    48504999    50199619
17    1000   300   48501952    48500575    50200726
